Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
Gebrauch von .env machen in Deployment,"",112,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/112,Closed,Benedikt Beigang,bbeigang,Luca Noack,lnoack,No,No,,2023-06-22 19:32:17,2023-06-25 12:30:06,2023-06-25 12:30:06,👂Sprint_03_1,3,DevOps,0,21600,76,MVP Features
Weekendly - 24.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_06_24Weekendly) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",113,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/113,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-24 12:48:16,2023-07-09 17:01:59,2023-06-24 12:50:39,👂Sprint_03_1,1,"Documentation,Meeting",0,22500,,
Coding Session - 27.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_06_27CodingSession) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",114,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/114,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-26 14:17:22,2023-07-09 17:01:05,2023-06-29 07:31:04,👂Sprint_03_1,1,"Documentation,Meeting",0,36000,,
Coding Session - 29.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_06_29CodingSession) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",115,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/115,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-06-26 14:18:39,2023-07-09 17:00:44,2023-07-01 11:59:34,👂Sprint_03_1,1,"Documentation,Meeting",0,28800,,
Customer Talk 30.06.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/116) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",116,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/116,Closed,Luca Noack,lnoack,"","",No,No,,2023-06-30 14:31:22,2023-07-05 10:45:11,2023-07-01 11:59:25,👂Sprint_03_1,,"Documentation,Meeting",0,10800,,
Weekendly - 01.07.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/117) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",117,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/117,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-07-01 11:57:19,2023-07-09 16:58:39,2023-07-01 13:54:15,👂Sprint_03_1,1,"Documentation,Meeting",0,18000,,
Coding Session - 04.07.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten der Coding Session.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden",118,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/118,Closed,Luca Noack,lnoack,Benedikt Beigang,bbeigang,No,No,,2023-07-04 20:04:55,2023-07-09 16:58:18,2023-07-06 21:02:05,👂Sprint_03_1,2,"Documentation,Meeting",0,65700,,
Coding Session - 06.07.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden
- [x] Das [Protokoll](https://gitlab.dit.htwk-leipzig.de/groups/live-stream-editor-zur-korrektur-von-untertiteln/-/wikis/Minutes/Sprint_03_1/2023_07_06CodingSession) ist erstellt und beinhaltet alle wichtigen Entscheidungen, Fragen und Antworten, sowie die für das Meeting relevante Agenda",119,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/119,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-07-06 07:45:37,2023-07-09 16:57:38,2023-07-08 13:07:26,👂Sprint_03_1,1,"Documentation,Meeting",0,33300,,
Steckbrief für Projektpräsentation,"Der Projektsteckbrief soll aus 4 Teilen bzw. Elementen bestehen und 1-2 gedruckte A4-Seiten umfassen. Der Projektsteckbrief kann auch Informationen liefern, die über das aktuelle Semester hinausgehen (z. B. umzusetzende Ziele für das nächste Semester, soweit bekannt).

**DoD**
- [x] Motivation: Hier gilt es zu beschreiben, warum das Projekt gestartet wurde. Leser sollen erkennen, dass das Projekt einen realen Hintergrund hat und wichtig ist. Typischerweise werden hier auch die Beispiele und Personas genannt.
- [x] Ziele und Vorgehen: Hier gilt es zu beschreiben, welche konkreten Ziele im Projekt verfolgt wurden/werden. Es werden also typischerweise Features (funktionale Eigenschaften) und nicht-funktionale Eigenschaften benannt. 
- [x] Umsetzung: Hier gilt es zu beschreiben, wie das Projekt umgesetzt wurde (z. B. als Webanwendung), welche Komponenten implementiert wurden (bzw. noch vorgesehen sind), welche Tech.-Stacks, Werkzeuge, Frameworks, usw. verwendet werden.
- [x] Projektsponsor und Team: Die Namen der Teammitglieder sollen aufgezählt werden. Geben Sie hier keine Matrikelnummern an.
- [x] Bilder/Skizzen: Medien, die ebenso in die Webseite eingebettet werden sollten
   - [x] aussagekräftige Screenshots der implementierten Anwendung
   - [x] Logo des Projektsponsors (wenn vom Projektsponsor freigegeben)
   - [x] Logo des Projektes
   - [x] Design-Thinking-Prototypen
   - [x] Mockups
   - [x] Ablaufdiagramme (Sequenzdiagramme)
   - [x] Klassendiagramme
   - [x] Foto vom Team (beachten Sie das Recht am eigenen Bild, wenn dies Teammitglieder wünschen)

**Anmerkungen**
* In jedem Fall werden auch die Poster gemeinsam mit dem Projektsteckbrief abgelegt.
* Idealerweise geben Sie mit dem Projektsteckbrief anderen den Eindruck, was besonders in Ihrem Projekt ist und dass Sie das Thema professionell bearbeiten.
* Die Medien (5.) müssen nur direkt eingebunden sein. Logischerweise bedingt dies, dass sie ebenso im Repository abgelegt sind.
* Sie könnten selbstverständlich Teile des Projektsteckbriefs auch im Video und im Poster wiederverwenden.",120,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/120,Closed,Benedikt Beigang,bbeigang,Luca Noack,lnoack,No,No,,2023-07-06 08:10:01,2023-07-08 19:25:03,2023-07-08 19:25:03,👂Sprint_03_1,3,"Documentation,In dev",0,28800,76,MVP Features
Weekendly - 08.07.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden",121,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/121,Closed,Luca Noack,lnoack,Benedikt Beigang,bbeigang,No,No,,2023-07-08 13:01:15,2023-07-09 16:56:56,2023-07-09 16:00:10,👂Sprint_03_1,1,"Documentation,Meeting",0,20700,,
Badges für Repositories anlegen,"Als Entwickler möchte ich stets über die Codequalität meiner Repositories informiert sein, sodass ich weiß wo Optimierungen nötig sind.

**DoD**
- [x] Badges für das Backend-Repository wurden angelegt
- [x] Badges für das Frontend-Repository wurden angelegt",122,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/122,Closed,Luca Niklas Franke,lfranke2,Luca Niklas Franke,lfranke2,No,No,,2023-07-08 15:35:52,2023-07-09 18:13:09,2023-07-09 18:13:09,👂Sprint_03_1,2,DevOps,0,9000,76,MVP Features
Cutomer Talk - 07.07.2023,"Anlegen des Protokolls in Form vom Vorbereiten und Nachbereiten des Meetings.
Außerdem wird hier die Zeit erfasst die für die Teilnahme aufgewendet wurde.

**DoD**
- [x] Das Meeting hat stattgefunden",123,https://gitlab.dit.htwk-leipzig.de/live-stream-editor-zur-korrektur-von-untertiteln/documentation/-/issues/123,Closed,Benedikt Beigang,bbeigang,Benedikt Beigang,bbeigang,No,No,,2023-07-09 14:58:43,2023-07-09 15:00:22,2023-07-09 15:00:21,👂Sprint_03_1,1,"Documentation,Meeting",0,3600,,
